image,author,title,description,description_text,category,url,slug
https://static.8cache.com/cover/eJzLyTDWdw-LN3UySTXPMQ1wdg83z3ctiag0sEzMKInPNcrxtUyqKjBxjCgOzo5wL7Uwcy31MnQ0dovIyypILU0rq3B0yXYMiTIqS600cvRwDndMqshILrctNzI01c0wNjICAOnMHyo=/ky-thieu-phu-nhan-cho-ngai-vao-danh-sach-den-roi.jpg,Tư Không Vũ Tịch,Kỷ Thiếu Phu Nhân Cho Ngài Vào Danh Sách Đen Rồi,"<div class=""desc-text"" itemprop=""description"">Tác giả: Tư Không Vũ Tịch<br/><br/>Thể loại: Truyện Teen, Ngôn Tình<br/><br/>Giới thiệu:<br/><br/>Đối với cô, người đàn ông tên Kỷ Nhiên kia rất kì quái, cứ luôn khiến cô khó hiểu, nhưng lại bất tri bất giác rung động vì anh ta.<br/><br/>Cô nói với anh ta, nếu cứ dựa dẫm vào anh, sau hai năm nữa, khi mọi thứ chấm dứt, làm sao cô có thể trở lại sinh hoạt như cô trước kia đây.<br/><br/>Anh lại thản nhiên nói:<br/><br/>""Vậy thì đến lúc đó, tôi vẫn sẽ để em dựa dẫm vào mình.""<br/><br/>Hiệp ước hôn nhân, chứng bệnh bài xích phụ nữ, bạn trai lâu năm nɠɵạı ŧìиɧ. Bắt đầu là giả, liệu cuối cùng có thể thành thật hay không?</div>","Tác giả: Tư Không Vũ TịchThể loại: Truyện Teen, Ngôn TìnhGiới thiệu:Đối với cô, người đàn ông tên Kỷ Nhiên kia rất kì quái, cứ luôn khiến cô khó hiểu, nhưng lại bất tri bất giác rung động vì anh ta.Cô nói với anh ta, nếu cứ dựa dẫm vào anh, sau hai năm nữa, khi mọi thứ chấm dứt, làm sao cô có thể trở lại sinh hoạt như cô trước kia đây.Anh lại thản nhiên nói:""Vậy thì đến lúc đó, tôi vẫn sẽ để em dựa dẫm vào mình.""Hiệp ước hôn nhân, chứng bệnh bài xích phụ nữ, bạn trai lâu năm nɠɵạı ŧìиɧ. Bắt đầu là giả, liệu cuối cùng có thể thành thật hay không?",Ngôn Tình,https://truyenfull.vn/ky-thieu-phu-nhan-cho-ngai-vao-danh-sach-den-roi,ky-thieu-phu-nhan-cho-ngai-vao-danh-sach-den-roi
https://lh3.googleusercontent.com/pw/AJFCJaUhCV6kmPM3lsngDFrH94zrE3SMxsIQOCy_qWII6stpUCgh_c7Sic1pygxrKn4CBoE5G7KYhJxEbqNzXtZ-_7cVlGWeIBWPKSvPOsnqglJknysjzQ7JOIOEVSk2jE43CWlSajSRiiT2ECY0O5VZ8Ufl=w215-h322-s-no?authuser=0,Thời Tinh Thảo,Ngọn Sóng Không Tên,"<div class=""desc-text desc-text-full"" itemprop=""description"">Lương Tây Kinh và Thi Hảo là hai người tuyệt đối không thể nào có chuyện ở bên nhau.<br/><br/>Một người là người chèo lái tập đoàn Lương Thị trong tương lai, một nhân vật huyền thoại trong giới kinh doanh, thủ đoạn tàn nhẫn, lạnh lùng đầy cuốn hút. Còn Thi Hảo là thư ký được ông nội của Lương Tây Kinh sắp xếp ở bên cạnh anh, trước giờ vẫn luôn công tư phân minh.<br/><br/>Hai người hoà thuận nước sông không phạm nước giếng, cho đến một lần ngoài ý muốn khiến mối quan hệ cấp trên với cấp dưới hoàn toàn trong sạch của bọn họ đi lệch hướng, trở nên vô cùng diệu kỳ.<br/><br/>…<br/><br/>Trong bữa tiệc lần nọ, Thi Hảo làm tròn bổn phận ngồi bên cạnh Lương Tây Kinh như mọi khi, lớp trang điểm giản dị, nhìn trông nhạt nhẽo vô vị.<br/><br/>Đối tác uống say bí tỉ lơ mơ hỏi Lương Tây Kinh, sao anh lại để một thư kí chẳng có gì thú vị ở bên cạnh mình lâu như vậy.<br/><br/>Lương Tây Kinh nghe xong thì nhìn về phía Thi Hảo, ánh mắt sâu thẳm: “Thư ký Thi rất tốt.”<br/><br/>Vẻ mặt người kia khinh bỉ: “Tốt chỗ nào?”<br/><br/>Lương Tây Kinh đang định lên tiếng thì tự dưng bị ăn một đạp. Sắc mặt anh không thay đổi, đè lên cái chân đang gây chuyện của người bên cạnh, bênh vực người mình nói: “Đương nhiên là thư ký của tôi điểm nào cũng tốt hết.”<br/><br/>…<br/><br/>Lương Tây Kinh ích kỷ không muốn để bất cứ ai thấy điểm tốt của Thi Hảo.<br/><br/>Bởi vậy anh chỉ có thể dùng chút mánh khóe để trói cô bên mình.<br/><br/>“Khi những ngọn sóng không tên ập đến với ta, con tim ta loạn nhịp.”<br/><br/>“Sau khi quen biết em, sự tự chủ của tôi không còn kiểm soát được nữa.”</div>","Lương Tây Kinh và Thi Hảo là hai người tuyệt đối không thể nào có chuyện ở bên nhau.Một người là người chèo lái tập đoàn Lương Thị trong tương lai, một nhân vật huyền thoại trong giới kinh doanh, thủ đoạn tàn nhẫn, lạnh lùng đầy cuốn hút. Còn Thi Hảo là thư ký được ông nội của Lương Tây Kinh sắp xếp ở bên cạnh anh, trước giờ vẫn luôn công tư phân minh.Hai người hoà thuận nước sông không phạm nước giếng, cho đến một lần ngoài ý muốn khiến mối quan hệ cấp trên với cấp dưới hoàn toàn trong sạch của bọn họ đi lệch hướng, trở nên vô cùng diệu kỳ.…Trong bữa tiệc lần nọ, Thi Hảo làm tròn bổn phận ngồi bên cạnh Lương Tây Kinh như mọi khi, lớp trang điểm giản dị, nhìn trông nhạt nhẽo vô vị.Đối tác uống say bí tỉ lơ mơ hỏi Lương Tây Kinh, sao anh lại để một thư kí chẳng có gì thú vị ở bên cạnh mình lâu như vậy.Lương Tây Kinh nghe xong thì nhìn về phía Thi Hảo, ánh mắt sâu thẳm: “Thư ký Thi rất tốt.”Vẻ mặt người kia khinh bỉ: “Tốt chỗ nào?”Lương Tây Kinh đang định lên tiếng thì tự dưng bị ăn một đạp. Sắc mặt anh không thay đổi, đè lên cái chân đang gây chuyện của người bên cạnh, bênh vực người mình nói: “Đương nhiên là thư ký của tôi điểm nào cũng tốt hết.”…Lương Tây Kinh ích kỷ không muốn để bất cứ ai thấy điểm tốt của Thi Hảo.Bởi vậy anh chỉ có thể dùng chút mánh khóe để trói cô bên mình.“Khi những ngọn sóng không tên ập đến với ta, con tim ta loạn nhịp.”“Sau khi quen biết em, sự tự chủ của tôi không còn kiểm soát được nữa.”",Ngôn Tình,https://truyenfull.vn/ngon-song-khong-ten,ngon-song-khong-ten
https://lh3.googleusercontent.com/pw/AJFCJaU52SyTzwENW1ymoxEX1Kj5C7R54akhuMdQDs8vMMDYyvslw5qrq9D2yog3FYfovZ7rIoStx4CcbfScPwsmtxlmUJe187gB-gZFgMxZJUJvs4yPaIMNN9jUwyOKeVxlC-nEfNnNPE4qIl8SqPBEkhsQ=w215-h322-s-no?authuser=0,一日丧命散,Từ Nhỏ Ta Đã Là Một Công Chúa Không Được Yêu Thương,"<div class=""desc-text desc-text-full"" itemprop=""description"">Từ <a rel=""nofollow"" target=""_blank""></a>nhỏ ta đã là một công chúa không được yêu thương.<br/><br/>Mẫu thân ta là con gái của Vệ quốc đại tướng quân. Khắp thiên hạ không ai dám đến cầu thân, cho nên cuối cùng bà chỉ đành lựa chọn tiến cung.<br/><br/>Tiến cung rồi cũng chỉ làm một phi tần nhỏ bé, đến chức vị Quý phi cũng chẳng leo lên được.<br/><br/>Lý do rất đơn giản, vì tính tình bà ấy ""hổ báo"" quá.<br/><br/>Nếu không mang cái danh nhi nữ của Vệ quốc đại tướng quân thì với tính cách của bà ấy, dù có mười cái mạng cũng chẳng đủ dùng.<br/><br/>Theo lý mà nói, dựa vào uy thế của gia tộc ta, dù là giả vờ thì phụ hoàng cũng phải tỏ ra yêu chiều ta vài phần mới đúng.<br/><br/>Thực tế thì hoàn toàn ngược lại.<br/><br/>Trong cung này không thiếu công chúa. Xinh đẹp, thông minh, ngoan ngoãn, lanh lợi, hoạt bát, đáng yêu, muốn gì có đó, tựa như vườn hoa đua nhau khoe sắc.<br/><br/>Còn ta, từ lúc sinh ra đã gắn trên đầu hai chữ ""ngốc nghếch"".</div>","Từ nhỏ ta đã là một công chúa không được yêu thương.Mẫu thân ta là con gái của Vệ quốc đại tướng quân. Khắp thiên hạ không ai dám đến cầu thân, cho nên cuối cùng bà chỉ đành lựa chọn tiến cung.Tiến cung rồi cũng chỉ làm một phi tần nhỏ bé, đến chức vị Quý phi cũng chẳng leo lên được.Lý do rất đơn giản, vì tính tình bà ấy ""hổ báo"" quá.Nếu không mang cái danh nhi nữ của Vệ quốc đại tướng quân thì với tính cách của bà ấy, dù có mười cái mạng cũng chẳng đủ dùng.Theo lý mà nói, dựa vào uy thế của gia tộc ta, dù là giả vờ thì phụ hoàng cũng phải tỏ ra yêu chiều ta vài phần mới đúng.Thực tế thì hoàn toàn ngược lại.Trong cung này không thiếu công chúa. Xinh đẹp, thông minh, ngoan ngoãn, lanh lợi, hoạt bát, đáng yêu, muốn gì có đó, tựa như vườn hoa đua nhau khoe sắc.Còn ta, từ lúc sinh ra đã gắn trên đầu hai chữ ""ngốc nghếch"".",Ngôn Tình,https://truyenfull.vn/tu-nho-ta-da-la-mot-cong-chua-khong-duoc-yeu-thuong,tu-nho-ta-da-la-mot-cong-chua-khong-duoc-yeu-thuong
https://lh3.googleusercontent.com/pw/AJFCJaUoAJajw_SJ61mCUapmx4-wHyARdEvjxZ7s3TT_rJkyGvIStYC4lgrMAtQepqwv-anr8_k3FOlAKnu7296UvKnAdSXe3eLzmfhJsAdBv2Q8hZSkYEXr60wvBeRFk9PRcmY9uEtrKrtkqryeudtlG57o=w215-h322-s-no?authuser=0,Dạ Nguyệt Ánh,Xin Chào! Thanh Xuân!,"<div class=""desc-text"" itemprop=""description"">Truyện Xin Chào! Thanh Xuân! của tác giả Dạ Nguyệt Ánh. Thanh xuân được xem như một khoảng thời gian đẹp nhất trong cuộc đời mỗi người, tựa như một tách trà vị thanh ngọt, đôi lúc còn có chút đắng, nhưng lại phát ra hương thơm đầy quyến rũ và còn nóng, thưởng thức nó sẽ đem lại những trải nghiệm tuyệt vời nhất.<br/><br/>Nếu bạn cảm thấy hứng thú với thể loại ngôn tình, hãy đến với May Mắn Gặp Được Em hoặc Lục Yên, Anh Yêu Em.</div>","Truyện Xin Chào! Thanh Xuân! của tác giả Dạ Nguyệt Ánh. Thanh xuân được xem như một khoảng thời gian đẹp nhất trong cuộc đời mỗi người, tựa như một tách trà vị thanh ngọt, đôi lúc còn có chút đắng, nhưng lại phát ra hương thơm đầy quyến rũ và còn nóng, thưởng thức nó sẽ đem lại những trải nghiệm tuyệt vời nhất.Nếu bạn cảm thấy hứng thú với thể loại ngôn tình, hãy đến với May Mắn Gặp Được Em hoặc Lục Yên, Anh Yêu Em.",Ngôn Tình,https://truyenfull.vn/xin-chao-thanh-xuan,xin-chao-thanh-xuan
https://lh3.googleusercontent.com/pw/AJFCJaXbYqgIm1IMFhJY7XtJnmfIUWTOS1Hz9LWBtH_FVAUh9WFpBEaGaTA7VBg1Q5L-x_KbdzGexP7afMs5fqzC-XZn4bOHxCGCI1dfjq-bi_xA91jJ5HReFQLUPzK6T1giwN3GiuUTs3XMVhpJOWBVN_iz=w215-h322-s-no?authuser=0,Y Nhiên Giản Đan,Quân Môn Nịch Ái,"<div class=""desc-text"" itemprop=""description"">Bộ truyện Quân Môn Nịch Ái của tác giả Y Nhiên Giản Đan xoay quanh một cô gái lạnh lùng và tinh quái đam mê nghiên cứu độc. Có thể vừa cứu người, lại vừa giết người, tra tấn người và đôi khi mang cả tính tà ác. Cô là một tá tài năng nhưng không có trái tim yêu đương, vì thế để xem bệnh cho ai đó, cô ta phải trước tiên nhìn vào tâm lý.<br/><br/>Một lần cứu chữa tình cờ giúp cô gặp phải một vị tướng quân ngốc nghếch. Duyên phận đã cho hai người trời nam đất bắc gặp nhau, dẫn đến một mối tình đẹp và rất đầy thử thách.<br/><br/>Câu chuyện này dùng từ ngữ rất đa dạng, mọi chi tiết đều được miêu tả cực kì chi tiết. Điểm đặc biệt quan trọng là tác giả đã tạo nên một nhân vật nữ cường độc lập, không chỉ là một cô gái nữ tính mà còn tài giỏi, thông minh và mạnh mẽ.<br/><br/>Nếu bạn yêu thích thể loại truyện ngôn tình, Quân Môn Nịch Ái là một lựa chọn tuyệt vời. Ngoài ra, bạn có thể tìm đọc thêm các truyện khác như Gửi Quãng Đời Còn Lại Vào Biển Cả và Vạn Nhân Mê Chỉ Nghĩ Đến Sự Nghiệp để tìm hiểu thêm về các nhân vật cũng như trải nghiệm cảm xúc mới lạ.</div>","Bộ truyện Quân Môn Nịch Ái của tác giả Y Nhiên Giản Đan xoay quanh một cô gái lạnh lùng và tinh quái đam mê nghiên cứu độc. Có thể vừa cứu người, lại vừa giết người, tra tấn người và đôi khi mang cả tính tà ác. Cô là một tá tài năng nhưng không có trái tim yêu đương, vì thế để xem bệnh cho ai đó, cô ta phải trước tiên nhìn vào tâm lý.Một lần cứu chữa tình cờ giúp cô gặp phải một vị tướng quân ngốc nghếch. Duyên phận đã cho hai người trời nam đất bắc gặp nhau, dẫn đến một mối tình đẹp và rất đầy thử thách.Câu chuyện này dùng từ ngữ rất đa dạng, mọi chi tiết đều được miêu tả cực kì chi tiết. Điểm đặc biệt quan trọng là tác giả đã tạo nên một nhân vật nữ cường độc lập, không chỉ là một cô gái nữ tính mà còn tài giỏi, thông minh và mạnh mẽ.Nếu bạn yêu thích thể loại truyện ngôn tình, Quân Môn Nịch Ái là một lựa chọn tuyệt vời. Ngoài ra, bạn có thể tìm đọc thêm các truyện khác như Gửi Quãng Đời Còn Lại Vào Biển Cả và Vạn Nhân Mê Chỉ Nghĩ Đến Sự Nghiệp để tìm hiểu thêm về các nhân vật cũng như trải nghiệm cảm xúc mới lạ.",Ngôn Tình,https://truyenfull.vn/quan-mon-nich-ai,quan-mon-nich-ai
https://static.8cache.com/cover/eJzLyTDWd7LQDS33Dg83MM4vy6oqiaosNctzNTZKSQzJMiyzLLWsLI1KMgwoMygor0zPqqxyDHbKdvLOd9cNzSzzDTHM0s0NNM0xcbVwNivMDvWMLzEqTLctNzI01c0wNjICACECH4U=/tieu-hoc-tra-om-yeu.jpg,Mun Tỷ,Tiểu Học Tra Ốm Yếu,"<div class=""desc-text"" itemprop=""description"">Tác giả: Mun Tỷ<br/><br/>Thể loại: Đô Thị, Truyện Teen, Đam Mỹ, Xuyên Không<br/><br/>Giới thiệu:<br/><br/>Quyển tiểu thuyết dạo này cậu đang cày có tên “Sắc màu hoa anh thảo” là thể loại vườn trường, thanh xuân, rõ mọi thứ đều đang rất ổn, nhưng càng về sau càng chệch hướng khiến độc giả không thể nào hiểu được.<br/><br/>Mở đầu chính cuộc gặp gỡ ngay ngày khai trường của hai nhân vật chính, cũng là kiểu vô tình đụng phải nhau, bốn mắt nhìn nhau, sinh ra cảm giác rung động, từ từ phát triểnt ình cảm, sau đó sẽ là HE. Một motif khá quen thuộc, và mọi thứ vốn cũng nên như vậy, cho đến khi gần kết thì tác giả không biết nghĩ sao mà bẻ cong nữ chính, để cô yêu một đàn chị khối trên, lại còn kết hôn với nhau.<br/><br/>Còn nam chính thì sao, tác giả cứ thế bỏ con giữa chợ, kết thúc ở đoạn nam chính nhận được thiệp hồng của nữ chính. Xong. Một cái kết vừa lãng xẹt vừa nhảm nhí lại còn buồn cười…<br/><br/>Nhưng vấn đề không nằm ở đó mà nằm trên một nhân vật phụ tên Dật Tinh Vọng, cái tên này lại trùng khớp với tên của cậu, Tinh Vọng rất ít khi có người đặt, đã thế còn họ Dật, Dật Tinh Vọng trong truyện mệnh yểu, chết sớm vì căn bệnh tim, chủ yếu là do đau buồn quá thể, không chịu được mà chết.</div>","Tác giả: Mun TỷThể loại: Đô Thị, Truyện Teen, Đam Mỹ, Xuyên KhôngGiới thiệu:Quyển tiểu thuyết dạo này cậu đang cày có tên “Sắc màu hoa anh thảo” là thể loại vườn trường, thanh xuân, rõ mọi thứ đều đang rất ổn, nhưng càng về sau càng chệch hướng khiến độc giả không thể nào hiểu được.Mở đầu chính cuộc gặp gỡ ngay ngày khai trường của hai nhân vật chính, cũng là kiểu vô tình đụng phải nhau, bốn mắt nhìn nhau, sinh ra cảm giác rung động, từ từ phát triểnt ình cảm, sau đó sẽ là HE. Một motif khá quen thuộc, và mọi thứ vốn cũng nên như vậy, cho đến khi gần kết thì tác giả không biết nghĩ sao mà bẻ cong nữ chính, để cô yêu một đàn chị khối trên, lại còn kết hôn với nhau.Còn nam chính thì sao, tác giả cứ thế bỏ con giữa chợ, kết thúc ở đoạn nam chính nhận được thiệp hồng của nữ chính. Xong. Một cái kết vừa lãng xẹt vừa nhảm nhí lại còn buồn cười…Nhưng vấn đề không nằm ở đó mà nằm trên một nhân vật phụ tên Dật Tinh Vọng, cái tên này lại trùng khớp với tên của cậu, Tinh Vọng rất ít khi có người đặt, đã thế còn họ Dật, Dật Tinh Vọng trong truyện mệnh yểu, chết sớm vì căn bệnh tim, chủ yếu là do đau buồn quá thể, không chịu được mà chết.",Đô Thị,https://truyenfull.vn/tieu-hoc-tra-om-yeu,tieu-hoc-tra-om-yeu
https://static.8cache.com/cover/o/eJzLyTDR183yyY0P8agIMLKM1A8LDjUOTHasKDPy1HeEgtzkcv2SzNAS56oKD-PwQP1yI0NT3QxjIyMAXxUS4g==/nha-co-han-the-lam-sao-pha.jpg,Lục Nguyệt Hạo Tuyết,Nhà Có Hãn Thê Làm Sao Phá,"<div class=""desc-text"" itemprop=""description"">Kiếp trước, tra phu giết vợ hại nữ nhi, nàng tránh được lưỡi đao của tra phu nhưng lại chết dưới tay Bạch liên hoa.<br/><br/>Trở lại khi còn bé, nàng tỉ mỉ trù tính, thận trọng từng bước, thoát khỏi gia đình cực phẩm, tay không xé Bạch liên hoa, thuận đường báo cái ân.<br/><br/>""Ấy, ngươi đừng hiểu lầm, ta chỉ là báo ân ngươi cứu mạng đời trước.""<br/><br/>""Ân cứu mạng, phải lấy thân báo đáp""<br/>Cùng đọc truyện nhé!!!</div>","Kiếp trước, tra phu giết vợ hại nữ nhi, nàng tránh được lưỡi đao của tra phu nhưng lại chết dưới tay Bạch liên hoa.Trở lại khi còn bé, nàng tỉ mỉ trù tính, thận trọng từng bước, thoát khỏi gia đình cực phẩm, tay không xé Bạch liên hoa, thuận đường báo cái ân.""Ấy, ngươi đừng hiểu lầm, ta chỉ là báo ân ngươi cứu mạng đời trước.""""Ân cứu mạng, phải lấy thân báo đáp""Cùng đọc truyện nhé!!!",Ngôn Tình,https://truyenfull.vn/nha-co-han-the-lam-sao-pha,nha-co-han-the-lam-sao-pha
https://static.8cache.com/cover/eJzLyTDWNy-oNM7KMQ1zMXRxM0vL93B2ys8pMXMuyyvO9zcI88oJiQgxtkz1N0syNzULTE5JMcw38g7LtTTyy40KzwzKKSoPM_CsrIpyTgvL9g0Ozgk0SrctNzI01c0wNjICAOLfHr8=/vong-tien-nhi-ca-ca-tu-tren-troi-roi-xuong.jpg,Xao (敲),[Vong Tiện] Nhị Ca Ca Từ Trên Trời Rơi Xuống,"<div class=""desc-text desc-text-full"" itemprop=""description"">Truyện<b> [Vong Tiện] Nhị Ca Ca Từ Trên Trời Rơi Xuống</b> của tác giả <b>Xao (敲)</b> là một câu chuyện hoà bình, vui vui vẻ vẻ, ngọt ngọt ngào ngào.<br/><br/>Sau khi Xạ Nhật Chi Chinh kết thúc, mọi thứ đều như về lại bình thường, mà Nguỵ công tử cần lo lắng chính là việc Hàm Quang Quân làm sao cứ mỗi tối lại đáp xuống giường của y.</div>","Truyện [Vong Tiện] Nhị Ca Ca Từ Trên Trời Rơi Xuống của tác giả Xao (敲) là một câu chuyện hoà bình, vui vui vẻ vẻ, ngọt ngọt ngào ngào.Sau khi Xạ Nhật Chi Chinh kết thúc, mọi thứ đều như về lại bình thường, mà Nguỵ công tử cần lo lắng chính là việc Hàm Quang Quân làm sao cứ mỗi tối lại đáp xuống giường của y.",Đam Mỹ,https://truyenfull.vn/vong-tien-nhi-ca-ca-tu-tren-troi-roi-xuong,vong-tien-nhi-ca-ca-tu-tren-troi-roi-xuong
https://lh3.googleusercontent.com/pw/AJFCJaX_DM0z4P-dwuaqTHpRuyqn1JAKOzAGUyIjsMn5QfyunwdLkavqiwUCzXVp0YxHuoqw6B0I5Mmc05t9kZU02VwVt1cZEXbxmcFHtRKK-Q3c4OyQgW5diJQqvuIUZvSyTvEb_GWwq_0gB5FoOhO42rq-=w215-h322-s-no?authuser=0,Ventuali,Phong Thanh Hạc Lệ,"<div class=""desc-text"" itemprop=""description"">Đề tài: Đam Mỹ - Hãy bước vào thế giới của Phong Thanh Hạc Lệ, một học sinh xuất sắc với tư chất kỷ luật và tài năng vượt trội. Trong khi đó, đối diện với anh là một cậu thiếu niên kiêu ngạo, luôn tỏ ra tự tin và rực nhưng lại là một tiểu băng đàn gây chuyện khó nhằn. Trong mắt giáo viên, cậu không có tác dụng gì ngoài việc gây rối, trốn học và đánh nhau.<br/><br/>Trong sự cố tai nạn kỳ lạ, hai người hoán đổi thân xác với nhau. Bằng cách này, họ bắt đầu xem xét và nhìn nhận thế giới qua những góc độ hoàn toàn khác hẳn.<br/><br/>Nếu bạn quan tâm đến thể loại đam mỹ, hãy theo dõi câu chuyện [Hp] Ta Là Duy Nhất hoặc Chân Tình Thấp Kém. Đây là những câu chuyện đầy tính cảm xúc và sẽ không khiến bạn thất vọng.</div>","Đề tài: Đam Mỹ - Hãy bước vào thế giới của Phong Thanh Hạc Lệ, một học sinh xuất sắc với tư chất kỷ luật và tài năng vượt trội. Trong khi đó, đối diện với anh là một cậu thiếu niên kiêu ngạo, luôn tỏ ra tự tin và rực nhưng lại là một tiểu băng đàn gây chuyện khó nhằn. Trong mắt giáo viên, cậu không có tác dụng gì ngoài việc gây rối, trốn học và đánh nhau.Trong sự cố tai nạn kỳ lạ, hai người hoán đổi thân xác với nhau. Bằng cách này, họ bắt đầu xem xét và nhìn nhận thế giới qua những góc độ hoàn toàn khác hẳn.Nếu bạn quan tâm đến thể loại đam mỹ, hãy theo dõi câu chuyện [Hp] Ta Là Duy Nhất hoặc Chân Tình Thấp Kém. Đây là những câu chuyện đầy tính cảm xúc và sẽ không khiến bạn thất vọng.",Đam Mỹ,https://truyenfull.vn/phong-thanh-hac-le,phong-thanh-hac-le
https://static.8cache.com/cover/eJwFwcEOQCAAANAvaigNB4fYMBrDWjrZKuMgyxrN33vvPFAwPjb1BF9xRm6_ScKZbGhH19kRJTRmiAs31aMxfnGd64e3WCrBzV5-mw6BKnfR9pAq2Vo7nwkwzcVyDyMMDgThDzvmH9g=/sau-khi-xuyen-thanh-vat-hi-sinh-ta-khien-nam-chinh-tro-nen-noi-tieng.jpg,Vãn Khinh Thường,Sau Khi Xuyên Thành Vật Hi Sinh Ta Khiến Nam Chính Trở Nên Nổi Tiếng,"<div class=""desc-text"" itemprop=""description"">Tác giả: Vãn Khinh Thường<br/><br/>Thể loại: Đô Thị, Trọng Sinh, Đam Mỹ, Xuyên Không<br/><br/>Giới thiệu:<br/><br/>Tô Tê Tĩnh, một người quản lý nghệ sĩ, đã xuyên không vào thế giới tiểu thuyết showbiz và trở thành vai nam phụ pháo hôi thích nữ chính. Sau khi xuyên qua, cậu lâm vào tình huống khó xử khi bị nam chính đối đầu. Nhờ kinh nghiệm trong nghề, Tê Tĩnh đã đoán được tương lai của hai người tuấn nam mỹ nữ này và trở thành người đại diện đẳng cấp vàng trong giới giải trí với hai đại tướng là ảnh đế Hạ Xán và ảnh hậu Sở Điềm. </div>","Tác giả: Vãn Khinh ThườngThể loại: Đô Thị, Trọng Sinh, Đam Mỹ, Xuyên KhôngGiới thiệu:Tô Tê Tĩnh, một người quản lý nghệ sĩ, đã xuyên không vào thế giới tiểu thuyết showbiz và trở thành vai nam phụ pháo hôi thích nữ chính. Sau khi xuyên qua, cậu lâm vào tình huống khó xử khi bị nam chính đối đầu. Nhờ kinh nghiệm trong nghề, Tê Tĩnh đã đoán được tương lai của hai người tuấn nam mỹ nữ này và trở thành người đại diện đẳng cấp vàng trong giới giải trí với hai đại tướng là ảnh đế Hạ Xán và ảnh hậu Sở Điềm. ",Đô Thị,https://truyenfull.vn/sau-khi-xuyen-thanh-vat-hi-sinh-ta-khien-nam-chinh-tro-nen-noi-tieng,sau-khi-xuyen-thanh-vat-hi-sinh-ta-khien-nam-chinh-tro-nen-noi-tieng
